	主功能复位后	默认复用功能	重定义功能
			
23	OSC_IN		
24	OSC_OUT		
25	NRST		
6	VBAT	VBAT	
138	BOOT0		
106	NC		
			
71	VSS_1		
72	VDD_1		
107	VSS_2		
108	VDD_2		
143	VSS_3		
144	VDD_3		
38	VSS_4		
39	VDD_4		
16	VSS_5		
17	VDD_5		
51	VSS_6		
52	VDD_6		
61	VSS_7		
62	VDD_7		
83	VSS_8		
84	VDD_8		
94	VSS_9		
95	VDD_9		
120	VSS_10		
121	VDD_10		
130	VSS_11		
131	VDD_11		
30	VSSA		
31	VREF-		
32	VREF+		
33	VDDA		
			
34	PA0	WKUP/USART2_CTS(7)/ADC123_IN0/TIM2_CH1_ETR/TIM5_CH1/TIM8_ETR	
35	PA1	USART2_RTS(7)/ADC123_IN1/TIM5_CH2/TIM2_CH2(7)	
36	PA2	USART2_TX(7)/TIM5_CH3/ADC123_IN2/TIM2_CH3(7)	
37	PA3	USART2_RX(7)/TIM5_CH4/ADC123_IN3/TIM2_CH4(7)	
40	PA4	SPI1_NSS(7)/USART2_CK(7)/DAC_OUT1/ADC12_IN4	
41	PA5	SPI1_SCK(7)/DAC_OUT2/ADC12_IN5	
42	PA6	SPI1_MISO(7)/TIM8_BKIN/ADC12_IN6/TIM3_CH1(7)	TIM1_BKIN
43	PA7	SPI1_MOSI(7)/TIM8_CH1N/ADC12_IN7/TIM3_CH2(7)	TIM1_CH1N
100	PA8	USART1_CK/TIM1_CH1(7)/MCO	
101	PA9	USART1_TX(7)/TIM1_CH2(7)	
102	PA10	USART1_RX(7)/TIM1_CH3(7)	
103	PA11	USART1_CTS/USBDM/CAN_RX(7)/TIM1_CH4(7)	
104	PA12	USART1_RTS/USBDP/CAN_TX(7)/TIM1_ETR(7)	
105	JTMS/SWDIO		PA13
109	JTCK/SWCLK		PA14
110	JTDI	SPI3_NSS/I2S3_WS	PA15/TIM2_CH1_ETR/PA15/SPI1_NSS
			
46	PB0	ADC12_IN8/TIM3_CH3/TIM8_CH2N	TIM1_CH2N
47	PB1	ADC12_IN9/TIM3_CH4(7)/TIM8_CH3N	TIM1_CH3N
48	PB2/BOOT1		
133	JTDO	SPI3_SCK / I2S3_CK	PB3/TRACESWO/TIM2_CH2/SPI1_SCK
134	NJTRST	SPI3_MISO	PB4/TIM3_CH1/SPI1_MISO
135	PB5	I2C1_SMBA/ SPI3_MOSI/I2S3_SD	TIM3_CH2/SPI1_MOSI
136	PB6	I2C1_SCL(7)/TIM4_CH1(7)	USART1_TX
137	PB7	I2C1_SDA(7)/FSMC_NADV/TIM4_CH2(7)	USART1_RX
139	PB8	TIM4_CH3(7)/SDIO_D4	I2C1_SCL/CAN_RX
140	PB9	TIM4_CH4(7)/SDIO_D5	I2C1_SDA/CAN_TX
69	PB10	I2C2_SCL/USART3_TX(7)	TIM2_CH3
70	PB11	I2C2_SDA/USART3_RX(7)	TIM2_CH4
